method,f1_pos,recall_pos,precision_pos,f1_weighted
Baseline LR,0.660377358490566,0.625,0.7,0.9122101691429747
CC-SMOTE LR,0.6193548387096774,0.8571428571428571,0.48484848484848486,0.8746001098814851
RUS LR,0.6013986013986014,0.7678571428571429,0.4942528735632184,0.8759779675131182
SMOTE LR,0.5957446808510638,0.75,0.49411764705882355,0.875426901652817
SMOTE-TOMEK LR,0.5957446808510638,0.75,0.49411764705882355,0.875426901652817
Class Weight LR,0.589041095890411,0.7678571428571429,0.4777777777777778,0.870277525561565
ROS LR,0.589041095890411,0.7678571428571429,0.4777777777777778,0.870277525561565
SMOTE-ENN LR,0.569620253164557,0.8035714285714286,0.4411764705882353,0.8562035215363104
