method,f1_pos,recall_pos,precision_pos,f1_weighted
Baseline RF,0.990990990990991,0.9821428571428571,1.0,0.997609955634647
ROS RF,0.990990990990991,0.9821428571428571,1.0,0.997609955634647
SMOTE RF,0.9734513274336283,0.9821428571428571,0.9649122807017544,0.9928838358632275
SMOTE-TOMEK RF,0.9734513274336283,0.9821428571428571,0.9649122807017544,0.9928838358632275
Class Weight RF,0.9724770642201835,0.9464285714285714,1.0,0.9927735036835302
RUS RF,0.9166666666666666,0.9821428571428571,0.859375,0.9768518518518519
SMOTE-ENN RF,0.7857142857142857,0.9821428571428571,0.6547619047619048,0.9342857142857144
CC-SMOTE RF,0.2685851318944844,1.0,0.15512465373961218,0.2775765203440085
