,5.8 I,6.0 I,6.1 I
Wriothesley,1.2325711139067113e+21,2.342480498119382e+21,2.2394198556827368e+21
Xiangling,5.100382505045234e+18,1.1717665595522566e+20,1.526385021041965e+20
Xianyun,2.000973647226397e+17,1.562118231283036e+18,8.544426129241098e+18
Xiao,16563110715981.986,2.5773260581751296e+16,297687733990054.06
Xilonen,2.9466402683358235e+25,1.465979699633746e+26,2.5476082075997106e+27
Xingqiu,7.84288422605762e+22,2.0824868480378954e+24,4.4714190934844296e+20
Xinyan,3863426640.872341,,11646475.843458828
Yae Miko,9.672819700096008e+20,8.891791803132206e+22,1.81250378899953e+21
Yanfei,1.2993182508602685e+22,1.0100453483434135e+18,8.552324195632284e+20
Yaoyao,1.4740430822552113e+19,2.689032394196332e+24,9.00905076452182e+18
Yelan,5.98683683007468e+21,1.4260104899789637e+26,2.9136792959189904e+25
Yoimiya,1.6218311178552276e+18,1.4140935262873837e+25,1.3496393438977155e+25
Yumemizuki Mizuki,2452271769.192957,883450576373943.8,158261108418.97476
Yun Jin,103987450.217965,5206237919.269015,2631030615658.5796
Zhongli,2.0460402635469414e+23,3.2494949554680736e+25,8.457892432713467e+27
